FDC – GENERAL SANTOS,,,,,,,,,,,,
,,,,,,,,,,,,
SYSPRO - Report Contents,,,,,,,,,,,,
,,,,,,,,,,,,
Date:2025/08/01 16:01,,,,,,,,,,,,
Branch,Opening balance,Sales,IBTs,Tax,Adjustments,Debit notes,Credit notes,Payments,Discounts,Revaluation,Balance correction,Closing balance
TOTAL,384745711.08,207543677.62,0.00,24947860.46,-1856369.68,8766891.29,-10845417.83,-212296686.37,0.00,0.00,0.00,401005666.57
,,,,,,,,,,,,
AE -Advances Officers & Employees,2799383.99,545086.75,0.00,0.00,-159772.67,0.00,-424248.53,-3313.00,0.00,0.00,0.00,2757136.54
AN -Advances to Nestle,9299406.43,1531431.32,0.00,927618.14,-1482059.79,8055883.71,-4378939.70,0.00,0.00,0.00,0.00,13953340.11
AO -ADVANCES OTHERS,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
AW -Advances to Wyeth,44759.29,99056.96,0.00,62569.13,13001.13,521409.50,-131827.12,0.00,0.00,0.00,0.00,608968.89
FS -FOOD SERVICE BRANCH,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
IC -IMPULSE CHANNEL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
MD -MICRO DISTRIBUTOR,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
TD -TRADE DEBTORS,372602161.37,205368102.59,0.00,23957673.19,-227538.35,189598.08,-5910402.48,-212293373.37,0.00,0.00,0.00,383686221.03
